measured,latency_ns,http_status,error_code,trade_id
false,155829959,200,,295
false,15604042,200,,303
false,176896583,200,,308
false,78982500,200,,307
false,136633666,200,,305
false,177475125,200,,300
false,142901917,200,,298
false,15648542,200,,310
false,178260750,200,,304
false,176183292,200,,297
false,15102459,200,,302
false,177542708,200,,301
false,15903167,200,,311
false,15722334,200,,306
false,17105709,200,,309
false,156613083,200,,299
false,131740083,200,,313
false,108643792,200,,312
false,26447417,200,,326
false,140428291,200,,236
false,81489542,200,,337
false,81606792,200,,321
false,87357750,200,,331
false,201043500,200,,329
false,38034875,200,,316
false,38130792,200,,320
false,38326125,200,,318
false,38057166,200,,322
false,88327416,200,,323
false,26713125,200,,332
false,88359458,200,,317
false,97575625,200,,314
false,129554834,200,,324
false,26880500,200,,336
false,26699708,200,,334
false,43464333,200,,315
false,26988833,200,,333
false,70272667,200,,340
false,204381750,200,,319
false,27973291,200,,328
false,83142583,200,,335
false,89012834,200,,327
false,83017958,200,,330
false,164130250,200,,228
false,39741333,200,,325
false,73459333,200,,341
false,172838334,200,,339
false,28213542,200,,338
false,456016750,200,,343
false,73106541,200,,345
false,203403959,200,,342
false,74032125,200,,346
false,203763834,200,,347
false,73280292,200,,344
false,83532625,200,,364
false,23091000,200,,357
false,23259541,200,,355
false,23510875,200,,366
false,90559209,200,,353
false,23274083,200,,359
false,23181042,200,,360
false,218967583,200,,354
false,93353916,200,,356
false,88690375,200,,352
false,91314500,200,,350
false,230761250,200,,349
false,92017375,200,,365
false,89138792,200,,351
false,24388708,200,,361
false,52625583,200,,363
false,92393042,200,,348
false,98064417,200,,358
false,74223083,200,,372
false,32614833,200,,362
false,85586792,200,,368
false,32788292,200,,369
false,32776792,200,,370
false,32916208,200,,373
false,34746833,200,,380
false,33150708,200,,374
false,88285208,200,,371
false,242081916,200,,378
false,244930083,200,,377
false,39683500,200,,379
false,82843667,200,,376
false,83181542,200,,375
false,45175458,200,,388
false,43287042,200,,367
false,45224875,200,,383
false,43590125,200,,387
false,71220292,200,,385
false,40904791,200,,382
false,252138084,200,,386
false,43481541,200,,389
false,205847459,200,,384
false,41740958,200,,381
false,22372750,200,,392
false,73346625,200,,391
false,52307042,200,,393
false,51095416,200,,394
false,125702500,200,,397
false,20641750,200,,398
false,116383667,200,,401
